capture.loc,year,fish,species,julian.day,F,M
5,1994,551,coho,242,275.5,275.5
5,1994,210,coho,243,105,105
5,1994,186,coho,244,93,93
5,1994,187,coho,245,93.5,93.5
5,1994,130,coho,246,65,65
5,1994,270,coho,247,135,135
5,1994,121,coho,250,60.5,60.5
5,1995,210,coho,205,105,105
5,1995,109,coho,207,54.5,54.5
5,1995,258,coho,212,129,129
5,1995,857,coho,213,428.5,428.5
5,1995,332,coho,214,166,166
5,1995,91,coho,215,45.5,45.5
5,1995,139,coho,216,69.5,69.5
5,1995,1027,coho,219,513.5,513.5
5,1995,260,coho,220,130,130
5,1995,519,coho,221,259.5,259.5
5,1995,507,coho,222,253.5,253.5
5,1995,942,coho,223,471,471
5,1995,903,coho,224,451.5,451.5
5,1995,573,coho,226,286.5,286.5
5,1995,784,coho,227,392,392
5,1995,828,coho,228,414,414
5,1995,295,coho,229,147.5,147.5
5,1995,197,coho,230,98.5,98.5
5,1995,323,coho,231,161.5,161.5
5,1995,95,coho,234,47.5,47.5
5,1995,436,coho,235,218,218
5,1995,276,coho,236,138,138
5,1995,579,coho,237,289.5,289.5
5,1995,315,coho,238,157.5,157.5
5,1996,471,coho,209,235.5,235.5
5,1996,661,coho,211,330.5,330.5
5,1996,2271,coho,212,1135.5,1135.5
5,1996,1426,coho,213,713,713
5,1996,60,coho,216,30,30
5,1996,238,coho,218,119,119
5,1996,246,coho,219,123,123
5,1996,1794,coho,219,897,897
5,1996,105,coho,220,52.5,52.5
5,1996,1455,coho,220,727.5,727.5
5,1996,68,coho,222,34,34
5,1996,652,coho,223,326,326
5,1996,64,coho,225,32,32
5,1996,151,coho,226,75.5,75.5
5,1996,403,coho,226,201.5,201.5
5,1996,54,coho,227,27,27
5,1996,66,coho,227,33,33
5,1996,74,coho,228,37,37
5,1996,198,coho,229,99,99
5,1996,327,coho,229,163.5,163.5
5,1996,14,coho,230,7,7
5,1996,635,coho,230,317.5,317.5
5,1996,555,coho,232,277.5,277.5
5,1996,640,coho,233,320,320
5,1996,778,coho,234,389,389
5,1996,974,coho,235,487,487
5,1996,1031,coho,236,515.5,515.5
5,1996,231,coho,237,115.5,115.5
5,1996,25,coho,240,12.5,12.5
5,1997,51,coho,216,25.5,25.5
5,1997,739,coho,217,369.5,369.5
5,1997,983,coho,218,491.5,491.5
5,1997,124,coho,219,62,62
5,1997,446,coho,220,223,223
5,1997,167,coho,221,83.5,83.5
5,1997,110,coho,223,55,55
5,1997,356,coho,224,178,178
5,1997,36,coho,225,18,18
5,1997,54,coho,226,27,27
5,1997,147,coho,227,73.5,73.5
5,1997,65,coho,230,32.5,32.5
5,1997,544,coho,231,272,272
5,1997,302,coho,232,151,151
5,1997,117,coho,233,58.5,58.5
5,1997,453,coho,234,226.5,226.5
5,1998,1,coho,187,0.5,0.5
5,1998,1,coho,194,0.5,0.5
5,1998,2,coho,195,1,1
5,1998,1,coho,198,0.5,0.5
5,1998,132,coho,208,66,66
5,1998,137,coho,209,68.5,68.5
5,1998,53,coho,212,26.5,26.5
5,1998,83,coho,213,41.5,41.5
5,1998,173,coho,218,86.5,86.5
5,1998,1897,coho,219,948.5,948.5
5,1998,584,coho,220,292,292
5,1998,18,coho,222,9,9
5,1998,135,coho,233,67.5,67.5
5,1998,86,coho,234,43,43
5,1998,56,coho,235,28,28
5,1998,62,coho,236,31,31
5,1998,70,coho,237,35,35
5,1998,133,coho,238,66.5,66.5
5,1999,68,coho,214,34,34
5,1999,8,coho,214,4,4
5,1999,66,coho,215,33,33
5,1999,77,coho,215,38.5,38.5
5,1999,38,coho,217,19,19
5,1999,10,coho,217,5,5
5,1999,368,coho,218,184,184
5,1999,152,coho,218,76,76
5,1999,142,coho,221,71,71
5,1999,6,coho,221,3,3
5,1999,184,coho,222,92,92
5,1999,9,coho,222,4.5,4.5
5,1999,39,coho,224,19.5,19.5
5,1999,37,coho,224,18.5,18.5
5,1999,70,coho,225,35,35
5,1999,26,coho,228,13,13
5,1999,153,coho,228,76.5,76.5
5,1999,347,coho,229,173.5,173.5
5,1999,134,coho,229,67,67
5,1999,12,coho,231,6,6
5,1999,8,coho,231,4,4
5,1999,100,coho,232,50,50
5,1999,57,coho,232,28.5,28.5
5,1999,51,coho,238,25.5,25.5
5,1999,117,coho,238,58.5,58.5
5,1999,26,coho,242,13,13
5,1999,11,coho,243,5.5,5.5
5,1999,38,coho,243,19,19
5,1999,6,coho,246,3,3
5,1999,8,coho,246,4,4
5,1999,30,coho,247,15,15
5,2000,33,coho,206,16.5,16.5
5,2000,94,coho,207,47,47
5,2000,12,coho,209,6,6
5,2000,76,coho,209,38,38
5,2000,123,coho,210,61.5,61.5
5,2000,50,coho,214,25,25
5,2000,202,coho,214,101,101
5,2000,244,coho,215,122,122
5,2000,5,coho,217,2.5,2.5
5,2000,1088,coho,218,544,544
5,2000,536,coho,220,268,268
5,2000,85,coho,221,42.5,42.5
5,2000,1436,coho,221,718,718
5,2000,64,coho,222,32,32
5,2000,54,coho,223,27,27
5,2000,21,coho,224,10.5,10.5
5,2000,783,coho,224,391.5,391.5
5,2000,81,coho,225,40.5,40.5
5,2000,112,coho,225,56,56
5,2000,2,coho,227,1,1
5,2000,205,coho,227,102.5,102.5
5,2000,798,coho,228,399,399
5,2000,462,coho,229,231,231
5,2000,259,coho,231,129.5,129.5
5,2000,448,coho,232,224,224
5,2000,13,coho,234,6.5,6.5
5,2000,85,coho,234,42.5,42.5
5,2000,222,coho,235,111,111
5,2000,109,coho,236,54.5,54.5
5,2000,31,coho,237,15.5,15.5
5,2000,46,coho,238,23,23
5,2001,2,coho,208,1,1
5,2001,10,coho,209,5,5
5,2001,41,coho,211,20.5,20.5
5,2001,116,coho,212,58,58
5,2001,104,coho,214,52,52
5,2001,147,coho,215,73.5,73.5
5,2001,238,coho,220,119,119
5,2001,44,coho,225,22,22
5,2001,230,coho,227,115,115
5,2001,230,coho,228,115,115
5,2001,746,coho,229,373,373
5,2001,162,coho,230,81,81
5,2001,68,coho,232,34,34
5,2001,63,coho,233,31.5,31.5
5,2001,81,coho,234,40.5,40.5
5,2001,59,coho,235,29.5,29.5
5,2001,5,coho,236,2.5,2.5
5,2001,82,coho,236,41,41
5,2001,56,coho,237,28,28
5,2001,14,coho,239,7,7
5,2001,166,coho,240,83,83
5,2002,69,coho,210,34.5,34.5
5,2002,7,coho,213,3.5,3.5
5,2002,66,coho,214,33,33
5,2002,14,coho,217,7,7
5,2002,69,coho,218,34.5,34.5
5,2002,141,coho,220,70.5,70.5
5,2002,100,coho,221,50,50
5,2002,37,coho,224,18.5,18.5
5,2002,177,coho,225,88.5,88.5
5,2003,64,coho,219,32,32
5,2003,60,coho,220,30,30
5,2003,252,coho,220,126,126
5,2003,165,coho,221,82.5,82.5
5,2003,5,coho,224,2.5,2.5
5,2003,69,coho,225,34.5,34.5
5,2003,93,coho,226,46.5,46.5
5,2003,615,coho,227,307.5,307.5
5,2003,185,coho,230,92.5,92.5
5,2003,478,coho,231,239,239
5,2003,167,coho,232,83.5,83.5
5,2003,91,coho,233,45.5,45.5
5,2003,402,coho,234,201,201
5,2003,68,coho,235,34,34
5,2003,30,coho,237,15,15
5,2003,401,coho,238,200.5,200.5
5,2003,313,coho,239,156.5,156.5
5,2003,385,coho,241,192.5,192.5
5,2003,188,coho,242,94,94
5,2004,158,coho,210,79,79
5,2004,17,coho,211,8.5,8.5
5,2004,647,coho,212,323.5,323.5
5,2004,36,coho,213,18,18
5,2004,229,coho,215,114.5,114.5
5,2004,428,coho,216,214,214
5,2004,660,coho,217,330,330
5,2004,1049,coho,219,524.5,524.5
5,2004,271,coho,220,135.5,135.5
5,2004,221,coho,222,110.5,110.5
5,2004,685,coho,223,342.5,342.5
5,2004,303,coho,224,151.5,151.5
5,2004,494,coho,225,247,247
5,2004,489,coho,228,244.5,244.5
5,2004,1373,coho,229,686.5,686.5
5,2004,709,coho,230,354.5,354.5
5,2004,103,coho,231,51.5,51.5
5,2004,656,coho,232,328,328
5,2004,440,coho,233,220,220
5,2004,322,coho,235,161,161
5,2004,645,coho,236,322.5,322.5
5,2004,178,coho,237,89,89
5,2004,426,coho,239,213,213
5,2004,333,coho,240,166.5,166.5
5,2004,225,coho,242,112.5,112.5
5,2004,595,coho,243,297.5,297.5
5,2004,481,coho,244,240.5,240.5
5,2004,58,coho,245,29,29
5,2004,207,coho,246,103.5,103.5
5,2005,87,coho,205,43.5,43.5
5,2005,196,coho,206,98,98
5,2005,117,coho,207,58.5,58.5
5,2005,145,coho,208,72.5,72.5
5,2005,789,coho,209,394.5,394.5
5,2005,316,coho,210,158,158
5,2005,278,coho,212,139,139
5,2005,2216,coho,213,1108,1108
5,2005,1885,coho,214,942.5,942.5
5,2005,2002,coho,216,1001,1001
5,2005,699,coho,220,349.5,349.5
5,2005,1561,coho,221,780.5,780.5
5,2005,1591,coho,223,795.5,795.5
5,2005,323,coho,226,161.5,161.5
5,2005,1135,coho,227,567.5,567.5
5,2005,950,coho,229,475,475
5,2005,1067,coho,230,533.5,533.5
5,2005,389,coho,230,194.5,194.5
5,2005,986,coho,234,493,493
5,2005,482,coho,235,241,241
5,2005,625,coho,237,312.5,312.5
5,2005,183,coho,238,91.5,91.5
5,2005,549,coho,241,274.5,274.5
5,2005,469,coho,242,234.5,234.5
5,2005,979,coho,244,489.5,489.5
5,2005,393,coho,245,196.5,196.5
5,2006,436,coho,202,218,218
5,2006,183,coho,203,91.5,91.5
5,2006,414,coho,205,207,207
5,2006,321,coho,206,160.5,160.5
5,2006,298,coho,208,149,149
5,2006,49,coho,209,24.5,24.5
5,2006,461,coho,211,230.5,230.5
5,2006,3097,coho,212,1548.5,1548.5
5,2006,757,coho,213,378.5,378.5
5,2006,44,coho,213,22,22
5,2006,932,coho,214,466,466
5,2006,4416,coho,215,2208,2208
5,2006,196,coho,218,98,98
5,2006,360,coho,219,180,180
5,2006,1058,coho,220,529,529
5,2006,3076,coho,222,1538,1538
5,2006,873,coho,225,436.5,436.5
5,2006,1154,coho,226,577,577
5,2006,554,coho,228,277,277
5,2006,818,coho,229,409,409
5,2006,109,coho,230,54.5,54.5
5,2006,264,coho,232,132,132
5,2006,1546,coho,233,773,773
5,2006,523,coho,235,261.5,261.5
5,2006,690,coho,237,345,345
5,2006,739,coho,239,369.5,369.5
5,2006,139,coho,242,69.5,69.5
5,2006,115,coho,243,57.5,57.5
5,2006,31,coho,244,15.5,15.5
5,2006,13,coho,247,6.5,6.5
5,2006,32,coho,248,16,16
5,2006,19,coho,253,9.5,9.5
5,2007,160,coho,199,80,80
5,2007,298,coho,200,149,149
5,2007,345,coho,201,172.5,172.5
5,2007,295,coho,202,147.5,147.5
5,2007,431,coho,203,215.5,215.5
5,2007,1050,coho,204,525,525
5,2007,1516,coho,205,758,758
5,2007,2581,coho,207,1290.5,1290.5
5,2007,410,coho,208,205,205
5,2007,1279,coho,210,639.5,639.5
5,2007,2018,coho,212,1009,1009
5,2007,163,coho,212,81.5,81.5
5,2007,994,coho,213,497,497
5,2007,2308,coho,214,1154,1154
5,2007,655,coho,217,327.5,327.5
5,2007,310,coho,218,155,155
5,2007,2307,coho,220,1153.5,1153.5
5,2007,1164,coho,222,582,582
5,2007,301,coho,223,150.5,150.5
5,2007,576,coho,225,288,288
5,2007,991,coho,226,495.5,495.5
5,2007,1658,coho,228,829,829
5,2007,621,coho,231,310.5,310.5
5,2007,450,coho,232,225,225
5,2007,74,coho,234,37,37
5,2007,234,coho,235,117,117
5,2007,168,coho,236,84,84
5,2007,175,coho,238,87.5,87.5
5,2007,600,coho,239,300,300
5,2007,342,coho,241,171,171
5,2007,882,coho,242,441,441
5,2007,44,coho,245,22,22
5,2007,38,coho,245,19,19
5,2007,17,coho,245,8.5,8.5
5,2007,208,coho,246,104,104
5,2007,30,coho,248,15,15
5,2007,43,coho,249,21.5,21.5
5,2008,1,coho,196,0.5,0.5
5,2008,15,coho,197,7.5,7.5
5,2008,57,coho,199,28.5,28.5
5,2008,111,coho,200,55.5,55.5
5,2008,83,coho,202,41.5,41.5
5,2008,909,coho,203,454.5,454.5
5,2008,293,coho,204,146.5,146.5
5,2008,400,coho,206,200,200
5,2008,214,coho,207,30.57142857,183.4285714
5,2008,319,coho,209,159.5,159.5
5,2008,838,coho,210,419,419
5,2008,159,coho,211,79.5,79.5
5,2008,123,coho,212,61.5,61.5
5,2008,44,coho,213,22,22
5,2008,855,coho,216,427.5,427.5
5,2008,3932,coho,217,1966,1966
5,2008,1342,coho,218,671,671
5,2008,1004,coho,219,502,502
5,2008,530,coho,220,265,265
5,2008,1469,coho,220,734.5,734.5
5,2008,902,coho,223,451,451
5,2008,760,coho,226,380,380
5,2008,2546,coho,227,1273,1273
5,2008,2484,coho,228,1242,1242
5,2008,530,coho,230,265,265
5,2008,964,coho,232,482,482
5,2008,655,coho,234,327.5,327.5
5,2008,23,coho,234,11.5,11.5
5,2008,579,coho,235,289.5,289.5
5,2008,299,coho,237,149.5,149.5
5,2008,80,coho,238,40,40
5,2008,894,coho,238,447,447
